Date,Focus Area,Subcategory,Jurisdiction,Context,AI Type,Source,Geographic Context,Actionability,URL
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf?isid=enterprisehub_us&ikw=enterprisehub_us_lead%2Fhow-to-responsibly-use-ai-powered-hr-tools_textlink_https%3A%2F%2Fnvlpubs.nist.gov%2Fnistpubs%2Fai%2FNIST.AI.100-1.pdf
2025-07-05,Privacy and Security,Data Protection,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://www.nist.gov/system/files/documents/2024/02/16/ID048%20-%202024-02-03%2C%20Loughborough%20University%2C%20Comments%20on%20AI%20EO%20RFI.pdf
2025-07-05,Privacy and Security,Compliance Frameworks,Federal,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://www.acf.hhs.gov/sites/default/files/documents/ana/hhs-supplemental-response-to-niac.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://irp.nih.gov/system/files/media/file/2025-03/2025-hhs-ai-strategic-plan_full_508.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Privacy and Security,Compliance Frameworks,Federal,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://ncvhs.hhs.gov/wp-content/uploads/2021/11/Summary-Standards-Listening-Session-August-25-2021-final-508.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-2e2025.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-82r3.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://airc.nist.gov/docs/NIST.AI.600-1.GenAI-Profile.ipd.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Private Sector,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf
2025-07-05,Responsible Implementation,Governance Structures,Federal,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://www.nist.gov/system/files/documents/2019/06/06/nist-ai-rfi-ama-001.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-2e2025.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-82r3.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://airc.nist.gov/docs/NIST.AI.600-1.GenAI-Profile.ipd.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Private Sector,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf
2025-07-05,Responsible Implementation,Governance Structures,Federal,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://www.nist.gov/system/files/documents/2019/06/06/nist-ai-rfi-ama-001.pdf
2025-07-05,Privacy and Security,Compliance Frameworks,Federal,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://www.acf.hhs.gov/sites/default/files/documents/ana/hhs-supplemental-response-to-niac.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://irp.nih.gov/system/files/media/file/2025-03/2025-hhs-ai-strategic-plan_full_508.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://405d.hhs.gov/Documents/tech-vol2-508.pdf
2025-07-05,Bias and Fairness,Equity Audits,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://www.aspe.hhs.gov/sites/default/files/documents/753e4359b913ca00c21fdbf5ad211827/Bias-in-Child-Welfare-PRMs.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://irp.nih.gov/system/files/media/file/2025-03/2025-hhs-ai-strategic-plan_full_508.pdf
2025-07-05,Responsible Implementation,Governance Structures,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://www.nichd.nih.gov/sites/default/files/inline-files/NICHD_ODSS_Metadata_Viz_Prototype_Implementation_Report.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://digirepo.nlm.nih.gov/master/borndig/9918734183106676/9918734183106676.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Private Sector,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://airc.nist.gov/docs/NIST.AI.600-1.GenAI-Profile.ipd.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Privacy and Security,Compliance Frameworks,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-137.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-82r3.pdf
2025-07-05,Privacy and Security,Privacy-Preserving Techniques,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1500-4r1.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf
2025-07-05,Privacy and Security,Data Protection,State,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8255.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf
2025-07-05,Responsible Implementation,Governance Structures,Unclassified,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf
2025-07-05,Responsible Implementation,Governance Structures,Unclassified,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf
2025-07-05,Privacy and Security,Cybersecurity Measures,Private Sector,Unclassified,Unclassified,Government,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://airc.nist.gov/docs/NIST.AI.600-1.GenAI-Profile.ipd.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Privacy and Security,Compliance Frameworks,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-137.pdf
2025-07-05,Privacy and Security,Privacy-Preserving Techniques,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1500-4r1.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf
2025-07-05,Privacy and Security,Data Protection,State,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8255.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://irp.nih.gov/system/files/media/file/2025-03/2025-hhs-ai-strategic-plan_full_508.pdf
2025-07-05,Responsible Implementation,Governance Structures,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://videocast.nih.gov/pdf/ohrp_appendix_belmont_report_vol_2.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf
2025-07-05,Bias and Fairness,Discrimination Mitigation,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270-draft.pdf
2025-07-05,Responsible Implementation,Ethical Deployment,Unclassified,Unclassified,Unclassified,Nonprofit,Unclassified,Unclassified,https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf
